"","other","myeoligo"
"1700047M11Rik",1.81484518942027,5.14925895821188
"2210011C24Rik",1.11335217134121,5.40457411605774
"2700046A07Rik",0.765140561474817,4.30981570074931
"2810468N07Rik",2.98539744923238,9.88375807123323
"AC110091.1",0.411791279223218,5.74200587911996
"AC122356.1",0.533769525459508,3.51022864119094
"AC140244.1",1.36820542268301,7.884325649746
"AC142114.1",3.28188469309538,9.66856306815309
"AC161763.1",1.8590400392284,4.97975561249444
"Aatk",2.92499035001852,7.95857686026006
"Abca2",4.48844370624899,9.41430457120816
"Acot7",1.9744362495528,5.48210276306104
"Acss2",1.73011476058541,4.9795288866435
"Acy3",2.12992714540408,6.94037750152901
"Adamts4",1.61304436087726,7.89633285132053
"Adamtsl4",1.72488323857078,4.19636334824573
"Adap1",3.014612211845,5.80378607211228
"Adi1",4.67725718087412,8.26662158677345
"Ado",5.90289329594711,9.31789316661396
"Adssl1",3.41969546726251,6.17608604946552
"Agpat4",1.96544732756232,5.05641830365323
"Anln",1.46219708250659,4.79073052744346
"Apbb1",3.29737528482972,8.27729583838914
"Aplp1",3.74102481343554,12.1669273077495
"Apod",1.99189564750546,9.00042210128494
"Arhgef10",1.24610061297962,5.17653074494126
"Arsg",1.71487116757866,3.90067319251155
"Aspa",1.57744103008707,6.09864532011312
"B3galt5",0.998765626364337,3.93867243165673
"B3gnt9",1.5652897899703,6.37021352208692
"Bace2",0.413006636654777,3.17068628628919
"Bcas1",1.23094470936417,7.26073161378464
"Capn5",1.94431669703056,5.18851643926077
"Car14",2.25946757907668,6.60005727876981
"Car2",3.32198494097526,8.72946307909228
"Carns1",1.77424407099889,6.15935738883495
"Cdc42ep2",3.79772231162508,7.09722579508925
"Cdk18",0.944086561004689,5.33909297216255
"Cdr2",2.05300290548071,5.43315294166586
"Cers2",5.44794689076447,10.2603833228711
"Cldn11",1.53480345638593,11.9648157219003
"Cmtm5",2.8956789045409,10.7001267251574
"Cnp",5.90129415816899,13.0532119033158
"Cntn2",1.20287647445924,7.70862834040175
"Cpm",0.950880670611092,4.12598903225294
"Cpox",3.96189901177452,7.65033605519698
"Cryab",3.04960103140326,10.4753251784447
"Csrp1",3.7100524201275,7.97552004079876
"Ctsk",1.45681668868365,5.16863012077826
"Cyp27a1",2.61816986184457,4.20349620446831
"Cyp2j12",0.239632131108807,3.24140721200049
"Dbndd2",2.00417406040313,6.66100520627237
"Ddn",2.0983170233857,6.92829177386071
"Ddr1",2.43791060947765,7.99513992031754
"Dhcr24",2.52650259918477,7.72347430881582
"Diras1",1.74167402306072,6.97365812492526
"Dlk2",1.37237371023705,5.66968518042368
"Dnajb2",4.40041859089453,8.59673950293811
"Dusp15",1.6875079209359,7.07004221042154
"Efhd1",0.893301899505224,5.02096507784737
"Efnb3",2.56761885298267,10.175075706037
"Elavl3",1.64737758694407,6.31876078292748
"Elovl1",6.83237533917549,9.58686345219465
"Elovl7",1.03459239312764,4.23542849890573
"Eml1",0.740240057086925,3.78875634170495
"Endod1",3.62253442412446,6.92965493614136
"Enpp2",1.92159124776871,7.56746368983294
"Enpp6",0.588636508360975,4.33274724665347
"Erbb3",1.55369961687906,6.27873524641721
"Ermn",0.860439160129515,8.93766585606653
"Fa2h",0.84451378975678,7.69456989442756
"Fah",1.77077728868922,6.3337102386803
"Fam131b",1.81729491342343,7.00278002106901
"Fcho1",2.38955971957361,6.28050147759786
"Fcor",3.99274004826122,5.54920829466524
"Fez1",1.99019680539647,7.61321572047523
"Fgd3",2.31294050013049,4.68523934694277
"Fkbp1a",6.2125454436542,8.93368385986219
"Frmd8",3.6303091693637,7.26828853289444
"Fth1",11.8435138374562,14.2992217527202
"Gal3st1",1.70758132336476,8.0677678613389
"Galnt6",1.28867621296893,4.73027083741855
"Gamt",5.2505176357604,9.85164296611437
"Gjb1",0.897194938008464,8.26140214375398
"Gjc2",1.03854854158781,9.0655008624115
"Gjc3",1.52134880254757,7.89718176152146
"Gltp",5.11086728912295,8.30353975026363
"Gm10687",1.23785740325624,5.51269674590846
"Gm11954",0.745526668241687,3.87655331391337
"Gm12326",0.613640613821412,4.76685398712043
"Gm15912",2.74734125146043,7.27680002594479
"Gm19439",0.266786227193363,2.86029230420975
"Gm21168",0.354005557648486,4.37707106803481
"Gm24166",1.44063655832741,5.83317870216215
"Gm2719",2.15353945084478,7.49629177758117
"Gm33594",0.286846100996614,4.17217037847596
"Gm3571",3.95405866322608,11.2714851796719
"Gm36961",0.852363641727162,4.49970170212502
"Gm37459",0.550874693744427,3.62191296564229
"Gm42528",1.23504611182606,5.21015678971157
"Gm43848",4.18858226883935,5.79531288626514
"Gm4768",3.15919607022952,10.290351235637
"Gm4974",0.354428482192164,3.18218060766474
"Gm5067",0.580490854685689,5.48476690639701
"Gm5637",3.38149546588769,9.53838908169332
"Gm5873",3.14426512047079,9.58004967930064
"Gm6829",3.87912515071479,11.3435626171106
"Gm6977",3.70045761847385,11.0569976717706
"Gm7049",1.66630933124492,6.3694346651412
"Gm7329",1.89324110511955,7.3074652900628
"Gm8508",3.0069742970212,9.53995399186149
"Gm9791",3.52560764301474,10.2605497073484
"Gng11",4.33037442898127,7.76079865226817
"Gng13",0.568186598224223,3.88762804081191
"Gng8",0.829160743934857,5.82999737434599
"Golga7",5.38090482639985,7.90053525425163
"Gpd1",1.88429852820357,5.97675802897847
"Gpr15",1.49045037729926,5.66803014592368
"Gpr37",1.10153633404414,8.04314936263041
"Gpr62",1.64458233841238,9.14402656834827
"Gprc5b",2.66640001631507,7.24554824602455
"Gsn",2.95112067121465,9.89147544376102
"Gstm7",2.46070832128347,7.37526898584987
"Hapln2",0.647725219986986,7.66464365442433
"Hcn2",1.79162123158067,6.92950888483345
"Hist1h1e",3.14330962106851,5.28667090706396
"Hist1h2al",2.04935814676507,7.15217101373483
"Hist1h2bc",5.07831197188716,6.49567508056848
"Hist1h3d",2.35520225180451,4.87745688354364
"Hist1h4c",1.91609254866443,3.74874194994836
"Hist1h4h",3.55251190898453,6.99196688142733
"Hist1h4i",4.8673222465075,6.99163892145116
"Hist3h2ba",3.72131776169011,9.1394062941128
"Igsf8",3.68351333005557,6.35397020844952
"Il23a",1.65944262574609,6.46664684269101
"Inf2",2.31760002481856,6.73216712497609
"Insc",0.254426995316758,2.97700284701429
"Insm1",1.026425759455,4.93945439024751
"Itgb4",0.654008370485009,5.78467278360207
"Josd2",5.90174997071121,9.55659470786227
"Kcna1",1.15648012224158,7.17549915686085
"Kif19a",1.40992894649239,4.57732553579302
"Kif1a",2.23861336410577,7.24351920456271
"Kif5a",2.70357007078004,8.63454829151619
"Klhl2",2.2226865440553,5.05421635279871
"Klk6",0.260592366396471,5.50645346393805
"Kndc1",1.05715648791435,6.92497987900289
"Larp6",0.804700258520789,4.82045695213586
"Ldlrap1",3.18267911825466,5.41732349741363
"Lgi3",1.98613169733358,10.2887500051691
"Lpar1",0.783660612580415,5.28349265021073
"Lrrn1",1.46969347601908,5.878203547843
"Ly6g6f",0.772824689697992,2.87842321581262
"Mag",2.54898656196826,11.9804940173105
"Mal",1.54191988066538,11.5822604286443
"Map1a",2.48737000889049,8.60072951947117
"Map6d1",1.82845306395486,8.63831406298005
"Mapk8ip1",2.54113336451178,8.78280522655328
"Mbp",3.60262207752021,14.2302562416479
"Mcam",2.72589000239575,8.05232309186173
"Micall1",1.74403900172369,6.01422322404679
"Mir219a-2",0.96775180632542,5.82388080457258
"Mobp",1.29295653189944,11.1701600206388
"Mog",1.44969448306165,11.225338445321
"Myrf",1.24168547157557,7.99796586883705
"Nacad",2.30218981414876,7.25437510163808
"Ndrg1",1.3014475825717,6.08312724792942
"Nfasc",1.61198168386128,6.9545291559592
"Nipal4",0.895732063997676,5.85786743210768
"Nkain1",1.04930673387225,5.67228108882705
"Nkx6-2",1.07089801945032,9.00651868066312
"Nmral1",3.70436021509347,6.45646421720206
"Nol3",1.04448915929736,6.61158817149106
"Npb",1.20399727739104,6.14776562713547
"Nrbp2",2.09786618763993,7.18092868243818
"Nrsn1",1.69107947039043,5.21607926697263
"Nrtn",0.509096643858606,3.43411008896846
"Olig1",4.24600351630119,12.2717973688937
"Olig2",2.85670707230828,8.99563291575836
"Opalin",0.613362706787608,7.8684085967372
"Pacs2",3.509638062854,7.71498421287275
"Padi2",1.64875688508784,3.53143720436506
"Pcbp4",2.7956239709984,8.38089612187479
"Pdlim2",3.93184410406021,8.12737313472315
"Phlda3",3.45626356119066,9.07512356412122
"Phldb1",2.53218969430159,7.87568995473315
"Pigz",1.57063742832141,4.34918208640308
"Pla2g16",2.68980096939956,5.43887967459787
"Plekhb1",2.86033593098468,10.9590327189298
"Plekhg3",2.0626889031207,4.47868620033246
"Plekhh1",0.947960839313205,5.58629537828284
"Plin3",3.84458491355545,6.11311859036207
"Pllp",1.28793178255767,5.6797018640086
"Plp1",3.20597958778567,13.9404117321435
"Plpp2",3.20289681672515,6.67837561233739
"Plxnb3",2.43383946614094,8.17223004150265
"Pou3f1",1.89747477617702,6.27954233185812
"Ppfia3",1.56550808326624,5.73782300659321
"Ppp1r14a",1.05667190377887,8.76346725612566
"Ppp1r16b",1.45476231128345,5.87085514407958
"Ppp2r2c",1.28678404768065,5.63125307442183
"Prima1",0.413448268139418,3.2269338427401
"Prkcz2",3.26097094601939,9.99503918681
"Prob1",1.52503105688782,6.28180413046585
"Prr5l",1.13158117044435,3.3710284181855
"Qdpr",3.18618442644521,6.2870944658491
"Rab33a",1.59186098536945,6.47639899145366
"Rhog",5.73511076827303,7.31777144724087
"Rnd2",3.81538375848788,9.19303675762001
"Rpl31-ps15",1.98358295235189,5.60362319210632
"Rpsa-ps11",1.24312664717938,5.52845363516504
"Rpsa-ps2",2.43014189102194,7.89357227700151
"Rtkn",1.43659771417474,6.31178149222994
"S100b",1.86779936058559,7.47099323907054
"S1pr5",3.43995962974017,8.40565711906696
"Sccpdh",3.36428115850055,7.20089641987127
"Scd1",3.91593160167599,9.58237341533454
"Scd2",7.05481391256632,12.3529774934529
"Sec14l5",0.604624281401754,4.79419766475364
"Sema4d",3.36982615336821,6.82922279862308
"Sept4",2.40000226154298,9.46518809072727
"Sez6l2",1.70400217794821,6.38106677848605
"Sgk2",0.419422033326167,3.49162567829066
"Sh3d2c-ps1",0.968596438180381,6.05628761323815
"Sh3gl3",0.807208729123119,5.23837595450897
"Shisa4",3.27601977441194,10.2742396611546
"Shisa8",1.16947429739936,5.17532388035425
"Sirt2",5.12617940974234,10.6380868788836
"Slain1",1.25502566728561,5.67196101269389
"Slc25a1",7.15403759293262,10.260009678771
"Slc44a1",2.42340277736051,5.78983732044773
"Slc48a1",5.10931814886651,8.96336992549213
"Slc9a3r2",3.93001620515631,7.41518085799604
"Smim1",2.41172949406974,6.93213305086666
"Smtnl2",0.499621530556518,3.6142413992814
"Snx33",2.64227598250556,5.7835426930796
"Sox10",1.71644161398496,8.50377358696917
"Sox8",2.95275214556828,8.39108669229942
"Sp7",0.333100816397328,4.75007483894927
"Srcin1",1.30266407799846,6.52712451976257
"Stmn4",1.89944847189761,8.50714135216343
"Sv2a",2.64849790886774,8.35929589973965
"Syt11",3.68665795012277,8.84890248632312
"Taldo1",7.65790154925884,9.22688703396673
"Tbc1d9b",4.32952865040424,7.38149308087078
"Tmcc2",2.34882926334208,6.50284043960752
"Tmeff2",0.614116844914089,4.11099808551739
"Tmem125",0.845107769129716,9.38211434454314
"Tmem151a",1.67789197158144,8.9725471177046
"Tmem159",3.09681129853067,5.14644897423778
"Tmem63a",3.33753465816924,6.55447210602347
"Tmem88b",1.92618930872995,10.9948717925566
"Tmod1",0.704517431409178,3.31340103383957
"Tppp",3.10182531263376,8.48105885783216
"Tppp3",5.97552828854902,9.67497153244003
"Tprn",3.72994925147012,8.48165331302124
"Trak2",2.99821271761003,7.50974558005942
"Trp53inp2",5.16185224681074,12.0391458627045
"Tspan15",1.25137811961561,5.97426431926856
"Tspan17",3.54620586975183,6.69834217822662
"Tspan2",2.02970390509403,8.06050566824144
"Ttll7",0.95852369869056,4.33581031585659
"Ttyh2",1.95036615033186,6.49437282631262
"Tubb4a",3.47140857083304,11.8966989886245
"Tyro3",1.95581800951028,7.72944710312723
"Ugt8a",1.1847950651558,7.92878803358646
"Unc5b",1.22017386525881,5.8098939743637
"Wscd1",2.347684036317,7.34068093584327
"Zbtb7b",3.42217863473276,5.66322045101495
"Zdhhc9",4.10444034241797,6.79536980327283
"mt-Rnr1",10.5252136082825,14.511186388814
"mt-Tn",3.57138061044411,7.19002893410856
"n-R5s172",0.368413123691214,3.46954731763832
